Timestamp,p_gimpo,p_gimpo_pre
2017-06-01 01:40,3.424999952,3.41272
2017-06-01 01:41,3.424999952,3.41272
2017-06-01 01:42,3.424999952,3.42609
2017-06-01 01:43,3.42750001,3.42779
2017-06-01 01:44,3.414999962,3.43021
2017-06-01 01:45,3.424999952,3.42053
2017-06-01 01:46,3.432499886,3.42365
2017-06-01 01:47,3.432499886,3.42571
2017-06-01 01:48,3.42750001,3.42875
2017-06-01 01:49,3.432499886,3.42544
2017-06-01 01:50,3.420000076,3.42623
2017-06-01 01:51,3.440000057,3.41962
2017-06-01 01:52,3.440000057,3.43049
2017-06-01 01:53,3.442500114,3.4312
2017-06-01 01:54,3.4375,3.43816
2017-06-01 01:55,3.4375,3.43626
2017-06-01 01:56,3.467499971,3.43834
2017-06-01 01:57,3.567500114,3.45494
2017-06-01 01:58,3.505000114,3.51741
2017-06-01 01:59,3.525000095,3.51437
2017-06-01 02:00,3.519999981,3.54323
2017-06-01 02:01,3.532500029,3.5293
2017-06-01 02:02,3.532500029,3.54586
2017-06-01 02:03,3.532500029,3.54487
2017-06-01 02:04,3.549999952,3.54253
2017-06-01 02:05,3.545000076,3.53732
2017-06-01 02:06,3.545000076,3.52777
2017-06-01 02:07,3.527499914,3.52496
2017-06-01 02:08,3.647500038,3.51079
2017-06-01 02:09,3.630000114,3.5721
2017-06-01 02:10,3.637500048,3.58505
2017-06-01 02:11,3.644999981,3.62588
2017-06-01 02:12,3.682499886,3.63339
2017-06-01 02:13,3.694999933,3.67242
2017-06-01 02:14,3.707499981,3.7017
2017-06-01 02:15,3.707499981,3.7327
2017-06-01 02:16,3.75,3.73817
2017-06-01 02:17,3.742500067,3.76388
2017-06-01 02:18,3.795000076,3.76609
2017-06-01 02:19,3.797499895,3.79961
2017-06-01 02:20,3.837500095,3.7931
2017-06-01 02:21,3.829999924,3.81294
2017-06-01 02:22,3.852499962,3.80067
2017-06-01 02:23,3.852499962,3.81624
2017-06-01 02:24,3.852499962,3.81394
2017-06-01 02:25,3.86500001,3.82268
2017-06-01 02:26,3.862499952,3.83377
2017-06-01 02:27,3.86500001,3.8499
2017-06-01 02:28,3.86500001,3.87575
2017-06-01 02:29,3.952500105,3.90169
2017-06-01 02:30,3.957499981,3.97519
2017-06-01 02:31,3.907500029,4.01398
2017-06-01 02:32,3.932499886,4.01727
2017-06-01 02:33,3.930000067,4.0133
2017-06-01 02:34,3.934999943,3.99843
2017-06-01 02:35,3.932499886,4.00009
2017-06-01 02:36,3.934999943,3.97656
2017-06-01 02:37,3.934999943,3.9483
2017-06-01 02:38,3.9375,3.92384
2017-06-01 02:39,3.9375,3.91722
2017-06-01 02:40,3.942500114,3.91308
2017-06-01 02:41,3.934999943,3.91512
2017-06-01 02:42,3.9375,3.92679
2017-06-01 02:43,3.992500067,3.96324
2017-06-01 02:44,3.960000038,4.02176
2017-06-01 02:45,3.967499971,4.01926
2017-06-01 02:46,3.954999924,4.01237
2017-06-01 02:47,3.997499943,3.98149
2017-06-01 02:48,3.960000038,3.99692
2017-06-01 02:49,3.970000029,3.97322
2017-06-01 02:50,3.970000029,3.96978
2017-06-01 02:51,3.970000029,3.95362
2017-06-01 02:52,3.970000029,3.95894
2017-06-01 02:53,3.967499971,3.95801
2017-06-01 02:54,3.962500095,3.95204
2017-06-01 02:55,3.970000029,3.94589
2017-06-01 02:56,3.962500095,3.9523
2017-06-01 02:57,3.967499971,3.95229
2017-06-01 02:58,3.970000029,3.95661
2017-06-01 02:59,3.964999914,3.96033
2017-06-01 03:00,3.967499971,3.96608
2017-06-01 03:01,3.967499971,3.97021
2017-06-01 03:02,3.984999895,3.96882
2017-06-01 03:03,3.984999895,3.97918
2017-06-01 03:04,3.99000001,3.98461
2017-06-01 03:05,4.0,3.99061
2017-06-01 03:06,3.997499943,3.99409
2017-06-01 03:07,4.005000114,3.99644
2017-06-01 03:08,4.002500057,4.00339
2017-06-01 03:09,4.014999866,4.00115
2017-06-01 03:10,4.019999981,4.0069
2017-06-01 03:11,4.0625,4.01165
2017-06-01 03:12,4.09250021,4.04163
2017-06-01 03:13,4.039999962,4.07192
2017-06-01 03:14,4.072500229,4.06308
2017-06-01 03:15,4.0625,4.07666
2017-06-01 03:16,4.059999943,4.07134
2017-06-01 03:17,4.059999943,4.08876
2017-06-01 03:18,4.070000172,4.08815
2017-06-01 03:19,4.072500229,4.091
2017-06-01 03:20,4.067500114,4.09817
2017-06-01 03:21,4.070000172,4.10416
2017-06-01 03:22,4.077499866,4.09874
2017-06-01 03:23,4.072500229,4.0927
2017-06-01 03:24,4.065000057,4.08823
2017-06-01 03:25,4.057499886,4.07739
2017-06-01 03:26,4.057499886,4.05513
2017-06-01 03:27,4.172500134,4.03986
2017-06-01 03:28,4.110000134,4.09798
2017-06-01 03:29,4.147500038,4.08775
2017-06-01 03:30,4.119999886,4.11266
2017-06-01 03:31,4.125,4.08393
2017-06-01 03:32,4.125,4.10344
2017-06-01 03:33,4.102499962,4.10737
2017-06-01 03:34,4.117499828,4.09391
2017-06-01 03:35,4.105000019,4.09331
2017-06-01 03:36,4.105000019,4.09194
2017-06-01 03:37,4.107500076,4.09742
2017-06-01 03:38,4.110000134,4.0921
2017-06-01 03:39,4.122499943,4.09571
2017-06-01 03:40,4.122499943,4.11375
2017-06-01 03:41,4.125,4.12573
2017-06-01 03:42,4.130000114,4.13249
2017-06-01 03:43,4.135000229,4.13908
2017-06-01 03:44,4.125,4.14881
2017-06-01 03:45,4.130000114,4.14462
2017-06-01 03:46,4.107500076,4.1394
2017-06-01 03:47,4.117499828,4.12119
2017-06-01 03:48,4.110000134,4.12112
2017-06-01 03:49,4.105000019,4.10963
2017-06-01 03:50,4.102499962,4.10341
2017-06-01 03:51,4.077499866,4.09622
2017-06-01 03:52,4.09250021,4.07982
2017-06-01 03:53,4.082499981,4.08017
2017-06-01 03:54,4.077499866,4.07236
2017-06-01 03:55,4.052499771,4.07265
2017-06-01 03:56,4.0625,4.05366
2017-06-01 03:57,4.050000191,4.05096
2017-06-01 03:58,4.042500019,4.04293
2017-06-01 03:59,4.052499771,4.04131
2017-06-01 04:00,4.037499905,4.03956
2017-06-01 04:01,4.074999809,4.0318
2017-06-01 04:02,4.077499866,4.05537
2017-06-01 04:03,4.074999809,4.06524
2017-06-01 04:04,4.090000153,4.07537
2017-06-01 04:05,4.090000153,4.08452
2017-06-01 04:06,4.082499981,4.09174
2017-06-01 04:07,4.090000153,4.09461
2017-06-01 04:08,4.045000076,4.09522
2017-06-01 04:09,4.070000172,4.06614
2017-06-01 04:10,4.054999828,4.06861
2017-06-01 04:11,4.034999847,4.05259
2017-06-01 04:12,4.0625,4.04259
2017-06-01 04:13,4.047500134,4.04481
2017-06-01 04:14,4.065000057,4.0393
2017-06-01 04:15,4.057499886,4.05727
2017-06-01 04:16,4.059999943,4.0554
