BUKSIHA.PQMS.ID10.1MEASURE.P3,Load,,,,,,,,,,,0
2017/11/23 16:40:51,5105.865234,,,,,,,,,,,0
2017/11/23 16:50:51,4750.043457,,,,,,,,,,,
2017/11/23 17:00:51,5862.581055,,,,,,,,,,,
2017/11/23 17:10:51,5717.154297,,,,,,,,,,,
2017/11/23 17:20:51,5584.824219,,,,,,,,,,,
2017/11/23 17:30:51,5176.362793,,,,,,,,,,,
2017/11/23 17:40:51,5019.696289,,,,,,,,,,,
2017/11/23 17:50:51,4983.439453,,,,,,,,,,,
2017/11/23 18:00:51,5425.740723,,,,,,,,,,,
2017/11/23 18:10:51,5060.321777,,,,,,,,,,,
2017/11/23 18:20:51,5057.15625,,,,,,,,,,,
2017/11/23 18:30:51,5540.14209,,,,,,,,,,,
2017/11/23 18:40:51,5241.868652,,,,,,,,,,,
2017/11/23 18:50:51,5263.324707,,,,,,,,,,,
2017/11/23 19:00:51,4946.405273,,,,,,,,,,,
2017/11/23 19:10:51,4429.927734,,,,,,,,,,,
2017/11/23 19:20:51,4960.671875,,,,,,,,,,,
2017/11/23 19:30:51,4511.571289,,,,,,,,,,,
2017/11/23 19:40:51,3790.902588,,,,,,,,,,,
2017/11/23 19:50:51,3840.554199,,,,,,,,,,,
2017/11/23 20:00:51,3937.956299,,,,,,,,,,,
2017/11/23 20:10:51,4522.044434,,,,,,,,,,,
2017/11/23 20:20:51,4543.085449,,,,,,,,,,,
2017/11/23 20:30:51,4350.959961,,,,,,,,,,,
2017/11/23 20:40:51,4554.744141,,,,,,,,,,,
2017/11/23 20:50:51,4654.787109,,,,,,,,,,,
2017/11/23 21:00:51,4673.04834,,,,,,,,,,,
2017/11/23 21:10:51,4465.453125,,,,,,,,,,,
2017/11/23 21:20:51,4720.366211,,,,,,,,,,,
2017/11/23 21:30:51,4344.541504,,,,,,,,,,,
2017/11/23 21:40:51,4704.156738,,,,,,,,,,,
2017/11/23 21:50:51,4650.143066,,,,,,,,,,,
